Title,Author,Created,Date_Added,Date_Added1,Excerpt,Image_Url,Link,Post_Date,Post_Date1,Post_Date_1,Tags,author_url,created_date,post-date-1,post-date-final,post-date-remove,text_date
Mughal Dynasty - British Museum,The British Museum,"August 18, 2023 5:03 PM",,,The Mughal Dynasty Collection at the British Museum,https://www.britishmuseum.org/collection/object/W_1974-0617-0-11-21,https://www.britishmuseum.org/collection/term/x23192?id=x23192&page=2#page-top,,,,"art, inspiration",,2023-08-18,,,,
Using class in an element with svelte,,"August 16, 2023 10:41 PM",,,,,https://x.com/rohiddev/status/1688524376071892992?s=12,,,,,,2023-08-16,,,,
Svelte + d3 bar chart race,,"August 16, 2023 10:37 PM",,,,,https://x.com/newlinedotco/status/1689275830415794177?s=12,,,,,,2023-08-16,,,,
What is StableLM the open source language model from Stability AI,,"August 12, 2023 6:04 PM",,,,,https://flip.it/Ud_O_c,,,,,,2023-08-12,,,,
TEN types of statistical averages. THREE simple frameworks for thinking about measures of central tendency. This thread has it all!,Kareem Carr,"August 5, 2023 11:19 PM",,,,https://twitter.com/kareem_carr/status/1687481704225882113/photo/1,https://twitter.com/kareem_carr/status/1687481704225882113?s=12,2023/08/04,2023-08-04,,,,2023-08-05,,2023-08-04,,
Perspectives on diffusion,Sander Dieleman,"July 25, 2023 11:50 AM",,,Diffusion models appear to come in many shapes and forms. This blog post is an overview of the perspectives on diffusion I’ve found useful.,,https://sander.ai/2023/07/20/perspectives.html,2023/07/20,2023-07-20,,,,2023-07-25,,2023-07-20,,
https://sander.ai/2023/07/20/perspectives.html,,"July 22, 2023 7:52 PM",,,,,https://twitter.com/joshwcomeau/status/1682776645898326016?s=12,,,,,,2023-07-22,,,,
"18-Year-Old's Science Reporting Leads Stanford President to Quit
",https://www.sciencealert.com/carly-cassella,"July 21, 2023 6:53 PM",,,"Within months of starting his undergraduate at Stanford University, 18-year-old Theo Baker was already on the trail of a story that would lead him to become the youngest George Polk award winner in American journalism history. His reporting for The Stanford Daily has now culminated in the resignation of Stanford's President: neuroscientist and billionaire Marc Tessier-Lavigne.",,https://www.sciencealert.com/18-year-olds-science-reporting-leads-stanford-president-to-quit,2023/07/21,2023-07-21,,,,2023-07-21,,2023-07-21,,
Page title...,,"July 20, 2023 11:37 PM",,,,,https://twitter.com/dvruette/status/1681942402582425600?s=12,,,,,,2023-07-20,,,,
Creating Web Applications with D3 Observable,,"July 19, 2023 10:35 PM",,,,,,,,,"application, d3js, data-viz, guide, post",,2023-07-19,,,,
Privatization in germany,,"July 19, 2023 8:41 PM",,,,,http://www.ub.edu/graap/nazi.pdf,,,,,,2023-07-19,,,,
"Drawing beautiful maps programmatically with R, sf and ggplot2 — Part 1: Basics",Mel Moreno & Mathieu Basille,"July 19, 2023 3:24 PM",,,"In this part, we will cover the fundamentals of mapping using ggplot2 associated to sf, and presents the basics elements and parameters we can play with to prepare a map.",,https://r-spatial.org/r/2018/10/25/ggplot2-sf.html,2018/10/25,2018-10-25,,"geospatial, ggplot2, post, rtats, tutorial",,2023-07-19,,2018-10-25,,
GitHub - allisonhorst/palmerpenguins: A great intro dataset for data exploration & visualization (alternative to iris).,,"July 19, 2023 1:27 PM",,,,,https://github.com/allisonhorst/palmerpenguins,,,,,,2023-07-19,,,,
The Deluge of Spurious Correlations in Big Data,Cristian S. Calude & Giuseppe Longo,"July 18, 2023 9:49 PM",,,"We prove that very large databases have to contain arbitrary correlations. These correlations appear only due to the size, not the nature, of data. They can be found in ‘‘randomly’’ generated, large enough databases, which—as we will prove—implies that most correlations are spurious. Too much information tends to behave like very little
information. The scientific method can be enriched by computer mining in immense databases, but not replaced by it.",,https://www.di.ens.fr/users/longo/files/BigData-Calude-LongoAug21.pdf,2016/03/07,2016-03-07,,"bigdata, data-science, general, pdf, peril",,2023-07-18,,2016-03-07,,
Singular Versus Plural? Keyword and Tagging Vocabulary Best Practices,Carleton CMS,"July 18, 2023 2:37 PM",2023-07-18,2023/07/18,Today’s blog post will require you to remember your classroom grammar lessons (yea!) as we unravel the web-wide debate over which keyword metatag and post tag vocabulary forms to use to establish a consistent classification structure to help optimize your web site.,,https://carleton.ca/webservices/2010/singular-versus-plural-keyword-and-tagging-vocabulary-best-practices/,2020/07/08,2020-07-08,,,,2023-07-18,,2020-07-08,,
Page title...,,"July 18, 2023 2:46 AM",,,,,https://twitter.com/mervenoyann/status/1680951366011822082?s=12,,,,,,2023-07-18,,,,
How to Use AI to Do Stuff: An Opinionated Guide,,"July 15, 2023 8:06 PM",,,,,https://www.oneusefulthing.org/p/how-to-use-ai-to-do-stuff-an-opinionated,,,,,,2023-07-15,,,,
Al biruni,,"July 15, 2023 5:44 PM",,,,,https://twitter.com/yakabikaj/status/1680225002015141892?s=12,,,,,,2023-07-15,,,,
ByteMD | ByteMD,,"July 15, 2023 11:44 AM",,,,,https://bytemd.netlify.app/?ref=madewithsvelte.com,,,,,,2023-07-15,,,,
"1,500 Van Gogh Artworks Have Been Digitized and Put Online
",,"July 14, 2023 1:47 AM",,,,,https://mymodernmet.com/van-gogh-museum-art-digitized/,2023/07/13,2023-07-13,,,,2023-07-14,,2023-07-13,,
Qgis training video,,"July 11, 2023 4:43 PM",,,,,https://twitter.com/undertheraedar/status/1675830365791854594?s=12,,,,,,2023-07-11,,,,
Fullstack Svelte with SvelteKit by Rich Harris | Preview,,"July 10, 2023 7:24 PM",,,,,https://www.youtube.com/watch?v=futm3ru_ZZg,,,,,,2023-07-10,,,,
"Bot Zero prompt for video creation ",,"July 10, 2023 12:14 PM",,,,,https://botzero.net/2023-07-pika-driving-bmw.php,,,,,,2023-07-10,,,,
Al biruni multiverse,,"July 10, 2023 11:52 AM",,,,,https://twitter.com/mirchond/status/1677869982611304448?s=12,,,,,,2023-07-10,,,,
"Code Interpreter comes to all ChatGPT Plus users — ‘anyone can be a data analyst now’
",,"July 9, 2023 6:19 PM",,,,,https://flip.it/luVWeO,,,,,,2023-07-09,,,,
Svelte-movable - powerful element transformations,,"July 9, 2023 1:18 AM",,,,,https://twitter.com/madewithsvelte/status/1677641194451480576?s=12,,,,,,2023-07-09,,,,
Svelte Moveable - Element Transformation Component - Made with Svelte,,"July 8, 2023 3:08 PM",,,,,https://madewithsvelte.com/svelte-moveable,,,,,,2023-07-08,,,,
htmlwidgets gallery,,"July 7, 2023 4:34 PM",2023-07-07,2023/07/07,,,http://gallery.htmlwidgets.org/,2023/07/07,2023-07-07,,,,2023-07-07,,2023-07-07,,
Improving Your Statistical Inferences - 1  Using p-values to test a hypothesis,,"July 7, 2023 1:37 PM",,,,,https://lakens.github.io/statistical_inferences/01-pvalue.html,,,,,,2023-07-07,,,,
Wannabe data rock star,Matt Francis,"July 6, 2023 9:27 PM",,,Blog about data and tableau,,http://wannabedatarockstar.blogspot.com/,,,,,,2023-07-06,,,,
Awesome D3,,"July 5, 2023 12:38 PM",2023-07-05,2023/07/05,"A list of D3 libraries, plugins and utilities",,https://github.com/wbkd/awesome-d3,,,,,,2023-07-05,,,,
Pandas - Data analysis in Python - Part 1,https://www.youtube.com/@coreyms,"July 5, 2023 9:29 AM",,,"In this Python Programming video, we will be learning how to get started with Pandas. Pandas is a Data Analysis Library that allows us to easily read, analyze, and modify data. Pandas is a fundamental tool to learn in the growing field of Data Science. So we'll start by learning how to install Pandas, how to load data into a Jupyter Notebook, and how to see basic information about the data we've loaded in. Let's get started.",,https://www.youtube.com/watch?v=ZyhVh-qRZPA&list=RDCMUCCezIgC97PvUuR4_gbFUs5g&start_radio=1&rv=ZyhVh-qRZPA&t=0,2020/01/09,2020-01-09,,,,2023-07-05,,2020-01-09,2020-01-09,
